dep-left-nsubjpass-deps,dep-left-:-tags,dep-left-jjr-tags,dep-right-nnps-tags,concatenated-types,dep-right-advmod-deps,dep-right-appos-deps,dep-left-conj-deps,dep-right-punct-deps,dep-right-nsubjpass-deps,dep-right-dobj-deps,dep-right-advcl-deps,dep-right-rb-tags,dep-right-nn-tags,head-tag,dep-left-dist,dep-left-acomp-deps,dep-right-csubj-deps,dep-left-nnps-tags,dep-right-vbg-tags,dep-left-csubj-deps,dep-left-jjs-tags,dep-left-dative-deps,dep-left-attr-deps,dep-left-advmod-deps,dep-right-vbd-tags,dep-right-:-tags,dep-right-pobj-deps,dep-right-vbn-tags,dep-left-pobj-deps,"dep-left-,-tags",dep-left-poss-deps,dep-left-nsubj-deps,dep-left-prep-deps,dep-left-relcl-deps,dep-right-''-tags,dep-left-ccomp-deps,dep-right-dep-deps,dep-left-punct-deps,dep-left-vbz-tags,ent1-dep,dep-right-vb-tags,dep-left-npadvmod-deps,dep-right-vbz-tags,dep-dist,dep-right-ccomp-deps,dep-left-jj-tags,dep-right-parataxis-deps,dep-right-oprd-deps,"dep-right-,-tags",dep-left-prp-tags,dep-right-md-tags,dep-left-pcomp-deps,dep-right-jj-tags,dep-right-dt-tags,dep-right-agent-deps,ent2-dep,dep-right-xcomp-deps,dep-right-dist,dep-right-npadvmod-deps,dep-left-rb-tags,dep-left-nn-tags,ent2-type,dep-left-det-deps,dep-left-dep-deps,dep-right-nnp-tags,id,dep-left-vbp-tags,dep-right-``-tags,dep-left-vbn-tags,dep-right-pcomp-deps,dep-left-vbg-tags,dep-right-acomp-deps,dep-right-jjs-tags,dep-right-relcl-deps,dep-left-compound-deps,dep-right-poss-deps,dep-left-parataxis-deps,dep-right-in-tags,dep-right-acl-deps,dep-right-nns-tags,dep-right-cd-tags,dep-left-advcl-deps,dep-left-cd-tags,label,dep-left-``-tags,dep-right-attr-deps,dep-right-conj-deps,dep-left-dt-tags,dep-left-xcomp-deps,dep-left-nns-tags,dep-right-nsubj-deps,dep-left-in-tags,dep-left-intj-deps,dep-right-prep-deps,dep-left-oprd-deps,dep-left-amod-deps,dep-left-appos-deps,ent1,dep-right-det-deps,dep-left-vbd-tags,dep-right-nummod-deps,ent2,dep-left-dobj-deps,dep-right-nmod-deps,dep-left-vb-tags,dep-right-compound-deps,dep-right-vbp-tags,dep-left-nnp-tags,sent,dep-left-acl-deps,ent1-type,dep-right-intj-deps,dep-left-agent-deps,dep-left-md-tags,dep-left-nmod-deps
,,,,PERSONGPE,,,,,,1,,,1,VERB,2,,,,,,,,,,,,1,,,,,1,,,,,,,,pobj,,,,6,,,,,,,,,,,,compound,,3,,,1,GPE,,,1,10,,,,,,,,,1,,,1,,,,,,LIV,,,,,,,,,,1,,,,Tuvia Tzafir,,,,Israel,,,,,,1,Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .,,PERSON,,,,
,,,,GPENORP,,,,,,,,,1,VERB,6,,,,,,,,,,,,,,,,,,1,1,,,,,,compound,,,,9,,1,,,,,,1,,,,amod,,2,,,2,NORP,,,1,10,,,,,1,,,,,,,,,,,,,NON,,,,,,,1,1,,,,1,,Israel,,1,,Israeli,2,,,1,,,Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .,,GPE,,,,
,,,,PERSONNORP,,,,,,,,,,NOUN,5,,,,,,,,,,,,1,,,,,,1,1,,,,,,pobj,,,,8,,1,,,,,,1,,,,amod,,2,,,1,NORP,,,1,10,,,,,1,,,,,,,1,,,,,,NON,,,,,,,,1,,1,,1,,Tuvia Tzafir,,1,,Israeli,1,,,,,,Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .,,PERSON,,,,
,,,,GPENORP,,,,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,pobj,,,,2,,,,,,,,,,,,amod,,0,,,,NORP,,,,17,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,1,,east Jerusalem,,,,Arab,,,,,,1,An art exhibit at the Hakawati Theatre in Arab east Jerusalem was a series of portraits of Palestinians killed in the rebellion .,,GPE,,,,
,,,,GPENORP,,,,,,,,,1,AUX,5,,,1,,,,,1,,,,2,,2,,,,2,,,,,,,pobj,,,,11,,,,,,,,,,,,pobj,,5,,,1,NORP,,,2,17,,,,,,,,,,,,2,,,,,,NON,,,,,,1,1,2,,2,,,,east Jerusalem,,,,Palestinians,,,,,,,An art exhibit at the Hakawati Theatre in Arab east Jerusalem was a series of portraits of Palestinians killed in the rebellion .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,,,,,,,,,,,,ROOT,,,,3,,,,,,,,,,,,nmod,,0,,,,GPE,,,,23,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,1,PERUGIA,,,,Italy,,,,,,2,"PERUGIA , Italy -LRB- AP -RRB-",,GPE,,,,1
,,,,GPEGPE,,1,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,nmod,,,,3,,,,,,,,,,,,ROOT,,2,,,,GPE,,,2,23,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Italy,,,,PERUGIA,,1,,,,,"PERUGIA , Italy -LRB- AP -RRB-",,GPE,,,,
,,,,ORGGPE,,1,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,appos,,,,2,,,,,,,,,,,,ROOT,,1,,,,GPE,,,1,23,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,AP,,,,PERUGIA,,,,,,,"PERUGIA , Italy -LRB- AP -RRB-",,ORG,,,,
,,,,ORGGPE,,,,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,appos,,,,2,,,,,,,,,,,,nmod,,0,,,,GPE,,,,23,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,AP,,,,Italy,,,,,,1,"PERUGIA , Italy -LRB- AP -RRB-",,ORG,,,,1
,,,,GPEGPE,,,,,,,,,,NOUN,3,,,,,,,,,,,,1,,1,,,,1,,,,,,,pobj,,,,6,,,,,,,,,,,,compound,,2,,,1,GPE,,,1,26,,,,,,,,,1,,,1,,,,,,NON,,,,,,,,1,,1,,,,Perugia,,,,Umbria,,,,,,1,Officials in Perugia in Umbria province said five people were arrested there Tuesday night after police stopped their car and found $1 million in bogus bills in the trunk .,,GPE,,,,
