dep-left-xcomp-deps,dep-right-vbp-tags,dep-left-md-tags,dep-right-jjs-tags,dep-left-conj-deps,ent2,dep-right-vb-tags,dep-left-vb-tags,dep-left-dep-deps,dep-left-relcl-deps,dep-left-cd-tags,ent1-type,dep-left-det-deps,dep-right-vbz-tags,dep-left-vbd-tags,dep-left-parataxis-deps,label,dep-right-punct-deps,dep-left-npadvmod-deps,dep-left-compound-deps,dep-right-agent-deps,dep-right-intj-deps,dep-left-pobj-deps,dep-dist,head-tag,dep-left-dist,dep-left-vbg-tags,ent1-dep,dep-right-rb-tags,dep-left-nsubjpass-deps,dep-left-``-tags,dep-right-appos-deps,dep-right-npadvmod-deps,dep-right-oprd-deps,dep-right-xcomp-deps,dep-right-nns-tags,dep-right-''-tags,dep-right-vbg-tags,dep-right-nmod-deps,dep-right-nnp-tags,dep-left-dt-tags,dep-right-det-deps,dep-left-acl-deps,dep-right-prep-deps,dep-right-conj-deps,dep-left-vbn-tags,dep-right-nsubjpass-deps,dep-right-poss-deps,dep-right-advmod-deps,dep-right-advcl-deps,dep-left-jjs-tags,dep-left-poss-deps,dep-left-nnps-tags,dep-left-pcomp-deps,dep-right-md-tags,dep-left-nnp-tags,dep-right-cd-tags,dep-right-dt-tags,sent,dep-right-in-tags,dep-left-attr-deps,dep-left-advcl-deps,dep-left-jj-tags,dep-left-amod-deps,dep-left-nsubj-deps,dep-right-acomp-deps,ent2-type,dep-left-:-tags,dep-right-ccomp-deps,dep-right-dep-deps,dep-left-vbz-tags,dep-left-prp-tags,dep-right-attr-deps,dep-right-jj-tags,dep-right-nn-tags,dep-right-vbd-tags,dep-left-dative-deps,concatenated-types,dep-left-csubj-deps,dep-left-rb-tags,dep-left-acomp-deps,"dep-left-,-tags",dep-right-dobj-deps,dep-left-dobj-deps,dep-left-intj-deps,dep-left-appos-deps,dep-right-nummod-deps,dep-right-relcl-deps,dep-right-nnps-tags,dep-right-pobj-deps,dep-left-ccomp-deps,dep-left-vbp-tags,ent1,dep-left-in-tags,"dep-right-,-tags",dep-left-jjr-tags,dep-left-prep-deps,dep-right-vbn-tags,dep-right-:-tags,dep-right-parataxis-deps,ent2-dep,dep-left-agent-deps,dep-right-dist,dep-right-csubj-deps,dep-right-``-tags,dep-right-nsubj-deps,dep-left-oprd-deps,dep-left-advmod-deps,dep-right-pcomp-deps,dep-left-nmod-deps,id,dep-left-nn-tags,dep-left-nns-tags,dep-right-compound-deps,dep-right-acl-deps,dep-left-punct-deps
,,,,,Israel,,,,,,PERSON,,,,,LIV,,,1,,,,6,VERB,2,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .,1,,,,,1,,GPE,,,,,,,,1,,,PERSONGPE,,,,,1,,,,,,,1,,,Tuvia Tzafir,,,,,,,,compound,,3,,,,,,,,10,1,,,,
,,,,,Israeli,,,,1,,GPE,,,1,,NON,,,,,,,9,VERB,6,1,compound,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .,,,,1,1,,,NORP,,,,,,,,1,,,GPENORP,,,,,,2,,,,,,,,,Israel,1,,,1,,,,amod,,2,,,1,,,,,10,2,,1,,
,,,,,Israeli,,,,1,,PERSON,,,1,,NON,,,,,,,8,NOUN,5,1,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .,1,,,1,1,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,1,,,,,,1,,,Tuvia Tzafir,1,,,1,,,,amod,,2,,,,,,,,10,1,,,,
,,,,,Arab,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,1,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,An art exhibit at the Hakawati Theatre in Arab east Jerusalem was a series of portraits of Palestinians killed in the rebellion .,,,,,1,,,NORP,,,,,,,,,,,GPENORP,,,,,,,,,,,,,,,east Jerusalem,,,,,,,,amod,,0,,,,,,,,17,,,,,
,,,,,Palestinians,,,,,,GPE,,,,,NON,,,,,,2,11,AUX,5,,pobj,,,,,,,,,,,,2,,,,2,,,,,,,,,1,,,,,,An art exhibit at the Hakawati Theatre in Arab east Jerusalem was a series of portraits of Palestinians killed in the rebellion .,2,1,,,,,,NORP,,,,,,,,1,,,GPENORP,,,,,,,,,,,,2,,,east Jerusalem,2,,,2,,,,pobj,,5,,,1,,,,,17,1,1,,,
,,,,,Italy,,,,,,GPE,,,,,NON,,,,,,,3,PROPN,2,,ROOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"PERUGIA , Italy -LRB- AP -RRB-",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,1,,,,,,,PERUGIA,,,,,,,,nmod,,0,,,,,,,1,23,,,,,
,,,,,PERUGIA,,,,,,GPE,,,,,NON,,,,,,,3,PROPN,0,,nmod,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,"PERUGIA , Italy -LRB- AP -RRB-",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Italy,,,,,,,,ROOT,,2,,,,,,,,23,,,,,
,,,,,PERUGIA,,,,,,ORG,,,,,NON,,,,,,,2,PROPN,0,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,"PERUGIA , Italy -LRB- AP -RRB-",,,,,,,,GPE,,,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,AP,,,,,,,,ROOT,,1,,,,,,,,23,,,,,
,,,,,Italy,,,,,,ORG,,,,,NON,,,,,,,2,PROPN,1,,appos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"PERUGIA , Italy -LRB- AP -RRB-",,,,,,,,GPE,,,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,AP,,,,,,,,nmod,,0,,,,,,,1,23,,,,,
,,,,,Umbria,,,,,,GPE,,,,,NON,,,1,,,1,6,NOUN,3,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,Officials in Perugia in Umbria province said five people were arrested there Tuesday night after police stopped their car and found $1 million in bogus bills in the trunk .,1,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Perugia,1,,,1,,,,compound,,2,,,,,,,,26,1,,,,
